batch_run_id;date_scoring;client_id;rang_priorite;decile_risque;is_top_k;mrr;facteur_risque_1;facteur_risque_2;facteur_risque_3;score_brut_technique;model_version
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000176;1;1;True;470,3;[PRODUCT] Temps d'usage;[PRODUCT] Fréquence d'usage;[PRODUCT] Désactivation de fonctionnalités;0,9998475313186646;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000255;2;1;True;880,04;[PRODUCT] Temps d'usage;[PRODUCT] Fréquence d'usage;[PRODUCT] Désactivation de fonctionnalités;0,9997580647468567;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000172;3;1;True;143,89;[PRODUCT] Fréquence d'usage;[PRODUCT] Temps d'usage;[PRODUCT] Désactivation de fonctionnalités;0,999653697013855;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000045;4;1;True;97,15;[PRODUCT] Temps d'usage;[PRODUCT] Fréquence d'usage;[PRODUCT] Désactivation de fonctionnalités;0,9986258745193481;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000234;5;1;True;10,23;[PRODUCT] Fréquence d'usage;[PRODUCT] Temps d'usage;[PRODUCT] Désactivation de fonctionnalités;0,9984669089317322;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000289;6;1;True;230,14;[PRODUCT] Temps d'usage;[PRODUCT] Fréquence d'usage;[PRODUCT] Désactivation de fonctionnalités;0,9983553290367126;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000247;7;1;True;159,34;[PRODUCT] Temps d'usage;[PRODUCT] Fréquence d'usage;[PRODUCT] Évolution récente du temps d'usage;0,9963223934173584;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000089;8;1;True;289,01;[PRODUCT] Fréquence d'usage;[PRODUCT] Temps d'usage;[PRODUCT] Évolution récente du temps d'usage;0,9832095503807068;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000204;9;1;True;275,15;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;[PRODUCT] Évolution récente de la fréquence d'usage;0,9701966047286987;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000279;10;1;True;268,79;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;[PRODUCT] Fréquence d'usage;0,9691039323806763;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000099;11;1;True;129,12;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;[SUPPORT] Évolution récente des tickets support;0,9660775661468506;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000133;12;1;True;128,19;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,9558413624763489;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000248;13;1;True;156,69;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,9197574257850647;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000095;14;1;True;55,42;[PRODUCT] Fréquence d'usage;[PRODUCT] Temps d'usage;[PRODUCT] Évolution récente du temps d'usage;0,9155969023704529;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000106;15;1;True;123,12;[SUPPORT] Délais de résolution support;[SUPPORT] Évolution récente des tickets support;[SUPPORT] Tickets support ouverts;0,8416686058044434;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000173;16;1;True;139,27;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,828228771686554;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000128;17;1;True;228,71;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,7944046258926392;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000092;18;1;True;228,18;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;[PRODUCT] Fréquence d'usage;0,7621302008628845;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000295;19;1;True;147,96;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,7242715358734131;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000182;20;1;True;133,99;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;[PRODUCT] Temps d'usage;0,4542352557182312;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000068;21;1;True;335,01;[FINANCE] Délais de paiement;[FINANCE] Écart entre montant facturé et montant payé;;0,2653651237487793;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000229;22;1;True;241,88;[PRODUCT] Évolution récente du temps d'usage;[PRODUCT] Temps d'usage;;0,06649598479270935;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000265;23;1;True;65,01;;;;0,025702599436044693;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000083;24;1;True;62,62;[PRODUCT] Évolution récente du temps d'usage;[FINANCE] Facturation;;0,02495706081390381;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000011;25;1;True;64,56;[COMMERCIAL] Évolution récente des contacts commerciaux;[PRODUCT] Évolution récente de la fréquence d'usage;;0,023526590317487717;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000163;26;2;True;68,21;;;;0,019281964749097824;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000189;27;2;True;38,72;[PRODUCT] Fréquence d'usage;[SUPPORT] Évolution récente des tickets support;;0,018649926409125328;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000298;28;2;True;24,67;[PRODUCT] Temps d'usage;[SUPPORT] Évolution récente des tickets support;[PRODUCT] Évolution récente de la fréquence d'usage;0,018276209011673927;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000193;29;2;True;13,23;[PRODUCT] Temps d'usage;;;0,01527385227382183;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000076;30;2;True;345,4;[SUPPORT] Délais de résolution support;[SUPPORT] Évolution récente des tickets support;[COMMERCIAL] Évolution récente des contacts commerciaux;0,014633088372647762;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000260;31;2;True;242,52;[PRODUCT] Évolution récente du temps d'usage;;;0,013686387799680233;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000168;32;2;True;55,13;[PRODUCT] Fréquence d'usage;;;0,010959488339722157;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000006;33;2;True;392,2;[COMMERCIAL] Évolution récente des contacts commerciaux;;;0,010070131160318851;0.1.0-a08faab62df6
a80880ad-bd1a-5b00-b183-cf3445ba7455;2026-08-31;C000063;34;2;True;141,56;[PRODUCT] Temps d'usage;[PRODUCT] Évolution récente du temps d'usage;;0,009128582663834095;0.1.0-a08faab62df6
